Pattern_Type,AppID_Pattern,Application,Usage,Company,Priority,Data_Source
Equal,TRNSFRMR,Cognos Business Intelligence,Analytics,IBM,41766043,Transcend
Equal,MULTITHREADSGENQUEUE,Python,Analytics,Python.org,50100142,Transcend
Equal,D_UGAP_DATA.PY,Python,Analytics,Python.org,71500141,Transcend
Equal,UTF,Upgrade Testing Framework,Support,Teradata,83425218,Transcend
Equal,6.1,Utility Audit Tool,Load/Transform,Teradata,83425219,Transcend
Like,TECHALERT.CLIENT.SERVICE%,TECHALERT.CLIENT.SERVICE,Support,Teradata,110100209,Transcend
Like,TERADATA_Database_CHECK%,TERADATA_Database_CHECK,Support,Teradata,110525210,Transcend
Like,MICROSOFT.POWERBI.ENTERPRISE%,Power BI,Analytics,Microsoft,111600083,Transcend
Like,Microsoft.MASHUP.CONTAINER%,Power BI,Analytics,Microsoft,112433082,Transcend
Like,MICROSOFT.POWERBI.DATAMOVEMENT%,Power BI,Analytics,Microsoft,112433083,Transcend
Like,PreViewProcessingService%,SQL Server,Load/Transform,Microsoft,113433088,Transcend
Like,ReportingServicesService%,SQL Server,Load/Transform,Microsoft,113433089,Transcend
Like,WINDOWSFORMSAPPLICATION%,Visual Studio,Application,Microsoft,114000107,Transcend
Like,APPPOOL\CLARITYAPPPOOL%,IIS (Internet Information Services),Application,Microsoft,114600075,Transcend
Like,APPPOOL\DEFAULTAPPPOOL%,IIS (Internet Information Services),Application,Microsoft,114600076,Transcend
Like,InformationDesignTool%,Business Objects,Analytics,SAP,115266162,Transcend
Like,SOCOSENIORADVANTAGE%,Visual Studio,Application,Microsoft,116766106,Transcend
Like,TeradataStudio%,Studio,Analytics,Teradata,116775205,Transcend
Like,ACOE_TST_OBIEE_SVC%,Business Intelligence Enterprise Edition,Analytics,Oracle,117633122,Transcend
Like,BIBUSTKServerMAIN%,Cognos Business Intelligence,Analytics,IBM,118633037,Transcend
Like,ACOE_BISYSTEMUser%,Business Intelligence Enterprise Edition,Analytics,Oracle,118633121,Transcend
Like,CONNECTIONServer%,Business Objects,Analytics,SAP,119700161,Transcend
Like,MSREPORTBUILDER%,SSRS (SQL Server Reporting Services),Analytics,Microsoft,120933100,Transcend
Like,MINMAXPLANNING%,Oracle Inventory,Application,Oracle,122333133,Transcend
Like,WEBIRichClient%,Business Objects WebI,Analytics,SAP,122333163,Transcend
Like,WIReportServer%,Business Objects WebI,Analytics,SAP,122333164,Transcend
Like,JOBServerCHILD%,Crystal Enterprise,Analytics,SAP,122333165,Transcend
Like,TDAUTOTUNE%,AutoTune Performance Analyst,Analytics,Teradata,122825183,Transcend
Like,COLLECTION%,COLLECTION,Support,Teradata,122825185,Transcend
Like,SCHNITZLER%,Data DNA,Analytics,Teradata,122825186,Transcend
Like,DSMAIN-DTU%,Data Transfer Utility,Backup-Restore,Teradata,122825188,Transcend
Like,TARAServer%,TARA (Deprecated),Load/Transform,Teradata,122825206,Transcend
Like,MODELERServer%,SPSS Statistical,Analytics,IBM,123900050,Transcend
Like,ISService%,ISService,Support,Teradata,125100194,Transcend
Like,TDLOADEXE%,Load (Unsupported),Load/Transform,Teradata,125100196,Transcend
Like,TBUILDEXE%,TPT Job Executor,Load/Transform,Teradata,125100212,Transcend
Like,RSREPORTHOST%,SQL Server,Load/Transform,Microsoft,125733090,Transcend
Like,DTSDebugHost%,SQL Server Business Intelligence Development Studi,Analytics,Microsoft,125733092,Transcend
Like,ISServerExec%,SSIS (SQL Server Integration Services),Load/Transform,Microsoft,125733098,Transcend
Like,DSAPI_SLAVE%,InfoSphere Data Stage,Load/Transform,IBM,127866044,Transcend
Like,AL_DESIGNER%,Business Objects,Analytics,SAP,127866158,Transcend
Like,TABPROTOSRV%,Tableau,Analytics,Tableau,127866180,Transcend
