Column_Name_CSV,Column_Name_VT,Column_Type_VT,Column_Default,Filter1
cust_name,,,,
cust_site_id,Site_ID,CHAR(128),,
Pizza,Party,integer,'CHEEZE',
tca_system_id,,integer,,
gss_qry_vrsn,,varchar,,
LogDate,,date ,,
LogDOW,,,,
LogTime,,,,
Timestamp,,,,
Hour,,,,
Minute10,,,,
RSSInterval,,,,
NodeGen,,,,
AMPS,,,,
CPUs,,,,
DBSRelease,,,,
PMCOD,,,,
WMCOD,,,,
IOCOD,,,,
MinMemSizeGB,,,,
MaxMemSizeGB,,,,
NumNodes,,,,
AvgCPUBusy,,,,
MaxCPUBusy,,,,
AvgPctOSCPU,,,,
MaxPctOSCPU,,,,
AvgPctIOWait,,,,
AvgRunQSz,,,,
MaxRunQSz,,,,
MaxPctIOWait,,,,
PctReadsCnt,,,,
PctReadsKB,,,,
AvgPosReadSec,,,,
AvgPreReadSec,,,,
AvgWriteSec,,,,
AvgIOPsSec,,,,
MaxIOPsSec,,,,
AvgMBSecNode,,,,
MaxMBSecNode,,,,
AvgReadMBSecNode,,,,
AvgWriteMBSecNode,,,,
TtlMBSecGen,,,,
TtlReadMBSecGen,,,,
TtlWriteMBSecGen,,,,
TtlPosReadSecGen,,,,
TtlPreReadSecGen,,,,
TtlWriteSecGen,,,,
KBRead,,,,
KBWrite,,,,
PermCacheEffKB,,,,
SpoolCacheEffKB,,,,
TotalCacheEffKB,,,,
PermCacheEffCnt,,,,
SpoolCacheEffCnt,,,,
PermDBCacheEffCnt,,,,
PermCICacheEffCnt,,,,
SpoolDBCacheEffCnt,,,,
SpoolCICacheEffCnt,,,,
LogPermDBSecNode_SVPR,,,,
LogPermCISecNode_SVPR,,,,
LogSpoolDBSecNode_SVPR,,,,
LogSpoolCISecNode_SVPR,,,,
PhySpoolDBSecNode_SVPR,,,,
PhySpoolCISecNode_SVPR,,,,
PhyPermDBSecNode_SVPR,,,,
PhyPermCISecNode_SVPR,,,,
LogPermReadSecNode_SVPR,,,,
LogSpoolReadSecNode_SVPR,,,,
LogPermReadMBSecNode_SVPR,,,,
LogSpoolReadMBSecNode_SVPR,,,,
PhyPermPosReadMBSecNode_SVPR,,,,
PhyPermPreReadMBSecNode_SVPR,,,,
PhySpoolPosReadMBSecNode_SVPR,,,,
PhySpoolPreReadMBSecNode_SVPR,,,,
PhyPermPosReadSecNode_SVPR,,,,
PhyPermPreReadSecNode_SVPR,,,,
PhySpoolPosReadSecNode_SVPR,,,,
PhySpoolPreReadSecNode_SVPR,,,,
PhyPermWriteSecNode_SVPR,,,,
PhySpoolWriteSecNode_SVPR,,,,
PhyPermWriteMBSecNode_SVPR,,,,
PhySpoolWriteMBSecNode_SVPR,,,,
TtlPhyPermReadMBSecNode_SVPR,,,,
TtlPhySpoolReadMBSecNode_SVPR,,,,
TtlPhyPermWriteMBSecNode_SVPR,,,,
TtlPhySpoolWriteMBSecNode_SVPR,,,,
TtlPhyPermReadsSecNode_SVPR,,,,
TtlPhySpoolReadsSecNode_SVPR,,,,
TtlPhyWriteSecNode_SVPR,,,,
TtlPhyWriteMBSecNode_SVPR,,,,
TtlLogReadMBSecNode_SVPR,,,,
TtlPhyReadMBSecNode_SVPR,,,,
CylReadRequestsSecNode_SVPR,,,,
CylReadSecNode_SVPR,,,,
CylReadBlocksSecNode_SVPR,,,,
CylReadDenThrSecNode_SVPR,,,,
CylReadDenCacheSecNode_SVPR,,,,
PermDirtyRelSecNode_SVPR,,,,
PermCleanRelSecNode_SVPR,,,,
PermDirtyRelMBSecNode_SVPR,,,,
PermCleanRelMBSecNode_SVPR,,,,
PermAgedWriteMBSecNode_SVPR,,,,
SpoolDirtyRelSecNode_SVPR,,,,
SpoolCleanRelSecNode_SVPR,,,,
SpoolDirtyRelMBSecNode_SVPR,,,,
SpoolCleanRelMBSecNode_SVPR,,,,
SpoolAgedWriteMBSecNode_SVPR,,,,
WALTJWriteMBSecNode_SVPR,,,,
WALTJDirtyRelMBSecNode_SVPR,,,,
PhysWALTJReadMBSecNode_SVPR,,,,
AvgPtPReadsSec,,,,
MaxPtPReadsSec,,,,
AvgPtPWritesSec,,,,
MaxPtPWritesSec,,,,
AvgPtPReadMBSec,,,,
MaxPtPReadMBSec,,,,
AvgPtPWriteMBSec,,,,
MaxPtPWriteMBSec,,,,
AvgBrdReadsSec,,,,
MaxBrdReadsSec,,,,
AvgBrdWritesSec,,,,
MaxBrdWritesSec,,,,
AvgBrdReadMBSec,,,,
MaxBrdReadMBSec,,,,
AvgBrdWriteMBSec,,,,
MaxBrdWriteMBSec,,,,
AvgPgSwapInSec,,,,
MaxPgSwapInSec,,,,
AvgPgSwapOutSec,,,,
MaxPgSwapOutSec,,,,
AvgHDDReadMBSecNode_SPDSK,,,,
MaxHDDReadMBSecNode_SPDSK,,,,
AvgHDDWriteMBSecNode_SPDSK,,,,
MaxHDDWriteMBSecNode_SPDSK,,,,
AvgHDDReadsSecNode_SPDSK,,,,
MaxHDDReadsSecNode_SPDSK,,,,
AvgHDDWritesSecNode_SPDSK,,,,
MaxHDDWritesSecNode_SPDSK,,,,
AvgHDDReadResp,,,,
MaxHDDReadResp,,,,
AvgHDDWriteResp,,,,
MaxHDDWriteResp,,,,
AvgSSDReadMBSecNode_SPDSK,,,,
MaxSSDReadMBSecNode_SPDSK,,,,
AvgSSDWriteMBSecNode_SPDSK,,,,
MaxSSDWriteMBSecNode_SPDSK,,,,
AvgSSDReadsSecNode_SPDSK,,,,
MaxSSDReadsSecNode_SPDSK,,,,
AvgSSDWritesSecNode_SPDSK,,,,
MaxSSDWritesSecNode_SPDSK,,,,
AvgSSDReadResp,,,,
MaxSSDReadResp,,,,
AvgSSDWriteResp,,,,
MaxSSDWriteResp,,,,
AvgWISSDReadMBSecNode_SPDSK,,,,
MaxWISSDReadMBSecNode_SPDSK,,,,
AvgWISSDWriteMBSecNode_SPDSK,,,,
MaxWISSDWriteMBSecNode_SPDSK,,,,
AvgWISSDReadsSecNode_SPDSK,,,,
MaxWISSDReadsSecNode_SPDSK,,,,
AvgWISSDWritesSecNode_SPDSK,,,,
