DatabaseName,DatabaseUse
All,Unknown
ARCUSERS,Unknown
console,Unknown
Crashdumps,Unknown
dbadip,Unknown
dbadmin,Unknown
DBC,Top or Root Level User for the Platform
DBCMANAGER,Unknown
dbcmngr,Unknown
dbcpurge,Unknown
Default,Unknown
DLADMIN,Unknown
External_AP,Unknown
GTMOPS,Unknown
LockLogShredder,Unknown
PDCRAccess,Performance Data Capture and Reporting
PDCRADM,Performance Data Capture and Reporting
PDCRAdmin,Performance Data Capture and Reporting
PDCRDATA,Performance Data Capture and Reporting
PDCRHIGA,Performance Data Capture and Reporting
PDCRINFO,Performance Data Capture and Reporting
PDCRSTG,Performance Data Capture and Reporting
PDCRTPCD,Performance Data Capture and Reporting
PUBLIC,Alias for All Users
SECADMIN,Unknown
SPOOL_RESERVE,Contains Allocation for Spool Reserve
SQLJ,Unknown
Sys_Calendar,System Calendar
SysAdmin,Unknown
SYSBACK,Unknown
SYSBAR,Unknown
SYSDBA,Unknown
SYSJDBC,Unknown
SYSLIB,Unknown
SYSSPATIAL,Unknown
SystemFe,System Field Engineering
SYSUDTLIB,Unknown
SYSUIF,Unknown
SYSXML,Unknown
TACADMIN,Unknown
TD_COD,Unknown
td_ffe_svc_acct,Unknown
TD_RECONFIG,Unknown
TD_SERVER_DB,Unknown
TD_SYSFNLIB,Unknown
TD_SYSGPL,Unknown
TD_SYSXML,Unknown
TDAP_Admin,Unknown
TDMaps,Unknown
TDPUSER,Unknown
TDQCD,Unknown
TDStats,Unknown
tdwm,Unknown
USERSPACE,Unknown
Viewpoint,ViewPoint Server Data Collection
