Pattern_Type,AppID_Pattern,Application,Usage,Company,Priority,Data_Source
Equal,INFORMATIONDESIGNTOOL,Business Objects,Analytic,SAP,128,manual
Equal,SRCLIB_DLL_X64-32 ,Alteryx,Analytic,Alteryx,162,manual
Equal,TERADATAKERNEL,Jupyter,Analytic,Teradata,274,manual
Equal,D_UGAP_DATA.PY,Python,Analytic,Open Source,280,manual
Equal,DSAPI_SLAVE ,DataStage,ETL,Microsoft,522,manual
Equal,WRITE_UGAP_ ,Apache Airflow,Analytic,Open Source,539,manual
Like,IR_ACO_DATALOADER%,Demand Tools - CRM,Analytic,Unknown,1051,manual
Like,M_DB.IMPL.GCC4P64%,Ab Initio,ETL,Ab Initio,1073,manual
Like,InformationDesignTool%,Business Objects,Analytics,SAP,1083,manual
Like,CLARITYDATATRANSFERService%,Clarity ETL,Analytics,Clarity,1085,manual
Like,SRCLIB_DLL_X64-32%,Alteryx Analytics,Analytics,Alteryx,1086,manual
Like,CISDATACHANGENOTIFIER%,CISDATACHANGENOTIFIER,Unknown,Unknown,1087,manual
Like,M_DB.TER.GCC4P64%,Ab Initio,ETL,Ab Initio,1088,manual
Like,ACOE_TST_OBIEE_SVC%,Business Intelligence Enterprise Edition,Analytics,Oracle,1089,manual
Like,ACOE_BISYSTEMUSER%,Business Intelligence Enterprise Edition,Analytics,Oracle,1099,manual
Equal,ATANASUITE,Atanasuite,Analytic,Atanasuite,1101,manual
Like,CABLEXMKTBBREPORT%,CABLE XMKT BB REPORT,Analytics,Unknown,1108,manual
Like,CSTRACKER.SCHEDULEDTASK%,CSTRACKER.SCHEDULEDTASK,Unknown,Unknown,1109,manual
Like,BIBUSTKSERVERMAIN%,Cognos Business Intelligence,Analytics,IBM,1112,manual
Like,CONNECTIONSERVER%,Business Objects,Analytics,SAP,1118,manual
Like,BMTMDPROVIDERMAIN%,Cognos Business Intelligence,Analytics,IBM,1119,manual
Equal,COLLECTION,Teradata PDCR Process,Analytic,Teradata,1120,manual
Equal,ORCHDBUTIL,DataStage,ETL,Microsoft,1128,manual
Like,HOMESECURITY.IMPORTFromNDW.CON%,HOME SECURITY IMPORT From NDW,Analytics,Unknown,1131,manual
Like,DUALCABLEXMKTBBREP%,DUAL CABLE XMKT BB REP,Analytics,Unknown,1132,manual
Like,IR_ACO_DATALOADER%,Demand Tools - CRM,Analytics,Validity,1139,manual
Like,NIELSENFEEDCHECKER%,Feed Checker,Analytics,Nielson,1141,manual
Like,WIREPORTSERVER%,BOBJ,Analytic,SAP,1142,manual
Like,WEBIRICHCLIENT%,BOBJ,Analytic,SAP,1144,manual
Like,CSGRAFANASERVICE%,CSGRAFANASERVICE,Unknown,Unknown,1145,manual
Like,APPPOOL\CLARITYAPPPOOL%,Internet Information Services (IIS),Application,Microsoft,1150,manual
Like,APPPOOL\DEFAULTAPPPOOL%,Internet Information Services (IIS),Application,Microsoft,1151,manual
Like,KREFERENCEDATAPURGEUTILITY%,Kalido MDM,ETL,Magnitude,1156,manual
Like,KTASKSUBREMOTEWAREHOUSE%,Kalido MDM,ETL,Magnitude,1164,manual
Like,KTRANSACTIONSTAGINGLOADER%,Kalido MDM,ETL,Magnitude,1165,manual
Like,MANAGEINVALIDASSOCIATES%,MANAGEINVALIDASSOCIATES,Unknown,Unknown,1173,manual
Like,KGATEKEEPERSERVICE%,Kalido MDM,ETL,Magnitude,1175,manual
Like,WIReportServer%,Business Objects WebI,Analytics,SAP,1181,manual
Like,WEBIRichClient%,Business Objects WebI,Analytics,SAP,1182,manual
Like,LIVECABLEXMKTBBREP%,LIVE CABLE XMKT BB REP,Analytics,Unknown,1183,manual
Like,HPMQUERYService%,Horizon Performance Manager (HPM),Application,Penn Medicine,1195,manual
Like,KCUSTOMCBELOADER%,Kalido MDM,ETL,Magnitude,1197,manual
Like,JOBSERVERCHILD%,Crystal Enterprise,Analytics,SAP,1199,manual
Like,OPERATIONS ASSESSMEN%,OPERATIONS ASSESSMENT,Analytics,Unknown,1200,manual
Like,MISSINGSENTINELID%,MISSINGSENTINELID,Unknown,Unknown,1201,manual
Like,Microsoft.MASHUP.CONTAINER%,Power BI,Analytics,Microsoft,1204,manual
Like,MICROSOFT.POWERBI.ENTERPRISE%,Power BI,Analytics,Microsoft,1205,manual
Like,LOADIPSHARETABLE%,LOADIPSHARETABLE,Unknown,Unknown,1208,manual
Like,MONTHLY_KIT_TOOL%,MONTHLY_KIT_TOOL,Unknown,Unknown,1217,manual
Like,MULTITHREADSGENQUEUE,Python,Analytics,Python.org,1220,manual
Like,SERIESNAMETELECASTMAPPING%,SERIES NAME TELECAST MAPPING,Analytics,Unknown,1228,manual
Like,MANAGEDSERVICES%,MANAGEDSERVICES,Unknown,Unknown,1234,manual
Like,ReportingServicesService%,SQL Server,ETL,Microsoft,1241,manual
Like,PreviewProcessingService%,SQL Server,ETL,Microsoft,1242,manual
Like,ACOE_SQLPRO_INFINITY%,SQL Pro Server For SSIS,Analytics,Unknown,1243,manual
Like,SOURCEMARTDESIGNER%,Source Mart Designer,Analytics,Health Catalyst,1246,manual
Like,TERADATAKERNEL%,Jupyter Notebook,Analytics,Jupyter,1255,manual
